"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","广告位","","0","0","6","0","0"
"","签到","","1","0","3","0","0"
"","注册","","3","0","25","0","0"
"","登录","","0","0","6","0","0"
"","修改密码","","0","2","7","0","0"
"","地址管理","","0","0","13","0","0"
"","购物车","","0","0","8","0","0"
"","优惠券","","1","1","5","0","0"
"","搜索","","5","1","10","0","0"
"","忘记密码","","0","0","14","0","0"
"","订单管理","","2","1","12","0","0"
"","支付","","0","2","9","0","0"
"","帮助中心","","0","0","15","0","0"
"","导航栏","","0","0","5","0","0"
"","个人资料修改","","0","0","6","0","0"
